metro,metname,year,metmedfinc,conum,trnum,gisjoin2,gisjoin3,totfam,medfinc,medfincratio,medcat,gisjoin2_mod
14484,"Boston-Quincy, MA",2000,63577,25021,25021400100,25002104001,2.50E+12,1021,83051,1.306,5,2500210400100
14484,"Boston-Quincy, MA",2000,63577,25021,25021400200,25002104002,2.50E+12,1150,93777,1.475,5,2500210400200
14484,"Boston-Quincy, MA",2000,63577,25021,25021400300,25002104003,2.50E+12,876,97560,1.535,6,2500210400300
14484,"Boston-Quincy, MA",2000,63577,25021,25021400400,25002104004,2.50E+12,1127,100933,1.588,6,2500210400400
14484,"Boston-Quincy, MA",2000,63577,25021,25021400500,25002104005,2.50E+12,1049,86837,1.366,5,2500210400500
14484,"Boston-Quincy, MA",2000,63577,25021,25021400600,25002104006,2.50E+12,1168,121322,1.908,6,2500210400600
14484,"Boston-Quincy, MA",2000,63577,25021,25021400700,25002104007,2.50E+12,775,93772,1.475,5,2500210400700
14484,"Boston-Quincy, MA",2000,63577,25021,25021400800,25002104008,2.50E+12,1042,88591,1.393,5,2500210400800
14484,"Boston-Quincy, MA",2000,63577,25021,25021400900,25002104009,2.50E+12,891,59420,0.935,3,2500210400900
14484,"Boston-Quincy, MA",2000,63577,25021,25021401000,25002104010,2.50E+12,881,70521,1.109,4,2500210401000
14484,"Boston-Quincy, MA",2000,63577,25021,25021401100,25002104011,2.50E+12,959,158457,2.492,6,2500210401100
14484,"Boston-Quincy, MA",2000,63577,25021,25021401200,25002104012,2.50E+12,1419,107151,1.685,6,2500210401200
14484,"Boston-Quincy, MA",2000,63577,25021,25021402101,2.50E+12,2.50E+12,1031,66620,1.048,4,2500210402101
14484,"Boston-Quincy, MA",2000,63577,25021,25021402102,2.50E+12,2.50E+12,1060,58095,0.914,3,2500210402102
14484,"Boston-Quincy, MA",2000,63577,25021,25021402200,25002104022,2.50E+12,617,65742,1.034,4,2500210402200
14484,"Boston-Quincy, MA",2000,63577,25021,25021402300,25002104023,2.50E+12,1247,80903,1.273,5,2500210402300
